gene name,description,gene id,protein id,number of domains,domains[count],paralogous family ID,members of paralogous family ,representative family member,"paralog [ % identity representative member:paralog , % identity paralog: representative member]",consensus RNA target,putative RNA target,supporting evidence (# pubmed ID),category in Baltz et al.,category in Castello et al.,found in both human mass spec,human cell lines mass spec,category in Kwon et al. mouse mESC,Toronto RBPDB,GO RNA related category,GO RNA related category description,GO general category,GO general category description,OMIM
RPS4X,"ribosomal protein S4, X-linked [Source:HGNC Symbol;Acc:10424]",ENSG00000198034,ENSP00000362744,4,"KOW[1],Ribosomal_S4e[1],RS4NT[1],S4[1]",family-793,"RPS4X,RPS4Y2,RPS4Y1",RPS4X,"RPS4Y2[92,92],RPS4Y1[93,93]",ribosome,ribosome,established RBP ,ribosomal,RNAbinding,1,1,1,.,"GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0019843,GO:0022627,GO:0030529,GO:0015935,GO:0016070,GO:0016071,GO:0045727,GO:0006414,GO:0006413,GO:0000184,GO:0006415","RNA binding,structural constituent of ribosome,ribosome,translation,rRNA binding,cytosolic small ribosomal subunit,ribonucleoprotein complex,small ribosomal subunit,RNA metabolic process,mRNA metabolic process,positive regulation of translation,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0019843,GO:0005829,GO:0005622,GO:0022627,GO:0030529,GO:0015935,GO:0005844,GO:0007275,GO:0008284,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0045727,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083","RNA binding,structural constituent of ribosome,ribosome,translation,rRNA binding,cytosol,intracellular,cytosolic small ribosomal subunit,ribonucleoprotein complex,small ribosomal subunit,polysome,multicellular organismal development,positive regulation of cell proliferation,viral process,gene expression,RNA metabolic process,mRNA metabolic process,positive regulation of translation,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription",.
RPS4Y1,"ribosomal protein S4, Y-linked 1 [Source:HGNC Symbol;Acc:10425]",ENSG00000129824,ENSP00000250784,4,"KOW[1],Ribosomal_S4e[1],RS4NT[1],S4[1]",family-793,"RPS4X,RPS4Y2,RPS4Y1",RPS4X,"RPS4Y2[92,92],RPS4Y1[93,93]",ribosome,ribosome,established RBP ,.,.,.,.,.,.,"GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0019843,GO:0022627,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","RNA binding,structural constituent of ribosome,ribosome,translation,rRNA binding,cytosolic small ribosomal subunit,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0019843,GO:0005829,GO:0022627,GO:0005844,GO:0007275,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083","RNA binding,structural constituent of ribosome,intracellular,ribosome,translation,rRNA binding,cytosol,cytosolic small ribosomal subunit,polysome,multicellular organismal development,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription",.
RPS4Y2,"ribosomal protein S4, Y-linked 2 [Source:HGNC Symbol;Acc:18501]",ENSG00000157828,ENSP00000288666,3,"KOW[1],Ribosomal_S4e[1],RS4NT[1]",family-793,"RPS4X,RPS4Y2,RPS4Y1",RPS4X,"RPS4Y2[92,92],RPS4Y1[93,93]",ribosome,ribosome,established RBP ,.,.,.,.,.,.,"GO:0003723,GO:0003735,GO:0019843,GO:0005840,GO:0006412","RNA binding,structural constituent of ribosome,rRNA binding,ribosome,translation","GO:0003723,GO:0003735,GO:0019843,GO:0005622,GO:0005840,GO:0006412","RNA binding,structural constituent of ribosome,rRNA binding,intracellular,ribosome,translation",.
RPS5,ribosomal protein S5 [Source:HGNC Symbol;Acc:10426],ENSG00000083845,ENSP00000196551,1,Ribosomal_S7[1],family-53,RPS5,.,.,ribosome,ribosome,established RBP ,ribosomal,RNAbinding,1,1,1,.,"GO:0003723,GO:0003735,GO:0003729,GO:0022627,GO:0030529,GO:0015935,GO:0006412,GO:0016070,GO:0016071,GO:0006450,GO:0006414,GO:0006413,GO:0000184,GO:0006415","RNA binding,structural constituent of ribosome,mRNA binding,cytosolic small ribosomal subunit,ribonucleoprotein complex,small ribosomal subunit,translation,RNA metabolic process,mRNA metabolic process,regulation of translational fidelity,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003723,GO:0003735,GO:0003729,GO:0005829,GO:0022627,GO:0030529,GO:0015935,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006450,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083","RNA binding,structural constituent of ribosome,mRNA binding,cytosol,cytosolic small ribosomal subunit,ribonucleoprotein complex,small ribosomal subunit,translation,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,regulation of translational fidelity,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription",.
RPS6,ribosomal protein S6 [Source:HGNC Symbol;Acc:10429],ENSG00000137154,ENSP00000369757,1,Ribosomal_S6e[1],family-634,RPS6,.,.,ribosome,ribosome,established RBP ,.,RNArelated,.,1,1,.,"GO:0003735,GO:0005840,GO:0006412,GO:0022627,GO:0000028,GO:0030529,GO:0015935,GO:0016070,GO:0016071,GO:0006364,GO:0006414,GO:0006413,GO:0000184,GO:0006415,GO:0042274","structural constituent of ribosome,ribosome,translation,cytosolic small ribosomal subunit,ribosomal small subunit assembly,ribonucleoprotein complex,small ribosomal subunit,RNA metabolic process,mRNA metabolic process,rRNA processing,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,ribosomal small subunit biogenesis","GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0005737,GO:0022627,GO:0000028,GO:0042593,GO:0005515,GO:0019901,GO:0005634,GO:0005829,GO:0005730,GO:0030529,GO:0015935,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0008286,GO:0006364,GO:0043065,GO:0044267,GO:0031929,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0042274","structural constituent of ribosome,intracellular,ribosome,translation,cytoplasm,cytosolic small ribosomal subunit,ribosomal small subunit assembly,glucose homeostasis,protein binding,protein kinase binding,nucleus,cytosol,nucleolus,ribonucleoprotein complex,small ribosomal subunit,viral process,gene expression,RNA metabolic process,mRNA metabolic process,insulin receptor signaling pathway,rRNA processing,positive regulation of apoptotic process,cellular protein metabolic process,TOR signaling,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription,ribosomal small subunit biogenesis",.
RPS7,ribosomal protein S7 [Source:HGNC Symbol;Acc:10440],ENSG00000171863,ENSP00000385018,1,Ribosomal_S7e[1],family-920,RPS7,.,.,ribosome,ribosome,established RBP ,ribosomal,RNAbinding,1,1,1,.,"GO:0003723,GO:0003735,GO:0022627,GO:0005840,GO:0030529,GO:0030686,GO:0006412,GO:0016070,GO:0016071,GO:0006364,GO:0006414,GO:0006413,GO:0000184,GO:0006415,GO:0042274","RNA binding,structural constituent of ribosome,cytosolic small ribosomal subunit,ribosome,ribonucleoprotein complex,90S preribosome,translation,RNA metabolic process,mRNA metabolic process,rRNA processing,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,ribosomal small subunit biogenesis","GO:0003723,GO:0005515,GO:0003735,GO:0005634,GO:0005829,GO:0005622,GO:0005730,GO:0022627,GO:0005840,GO:0030529,GO:0005815,GO:0032040,GO:0030686,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006364,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0042274","RNA binding,protein binding,structural constituent of ribosome,nucleus,cytosol,intracellular,nucleolus,cytosolic small ribosomal subunit,ribosome,ribonucleoprotein complex,microtubule organizing center,small-subunit processome,90S preribosome,translation,viral process,gene expression,RNA metabolic process,mRNA metabolic process,rRNA processing,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription,ribosomal small subunit biogenesis", DIAMOND-BLACKFAN ANEMIA 8; DBA8
RPS8,ribosomal protein S8 [Source:HGNC Symbol;Acc:10441],ENSG00000142937,ENSP00000379888,1,Ribosomal_S8e[1],family-263,RPS8,.,.,ribosome,ribosome,established RBP ,ribosomal,RNArelated,1,1,1,.,"GO:0003735,GO:0005840,GO:0006412,GO:0022627,GO:0030529,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415,GO:0000462","structural constituent of ribosome,ribosome,translation,cytosolic small ribosomal subunit,ribonucleoprotein complex,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","GO:0003735,GO:0005737,GO:0005840,GO:0006412,GO:0022627,GO:0005829,GO:0005622,GO:0030529,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0000462","structural constituent of ribosome,cytoplasm,ribosome,translation,cytosolic small ribosomal subunit,cytosol,intracellular,ribonucleoprotein complex,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",.
RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:10442],ENSG00000170889,ENSP00000302896,2,"Ribosomal_S4[1],S4[1]",family-1058,RPS9,.,.,ribosome,ribosome,established RBP ,.,RNAbinding,.,1,.,.,"GO:0003723,GO:0003735,GO:0019843,GO:0045182,GO:0022627,GO:0005840,GO:0030529,GO:0015935,GO:0006412,GO:0016070,GO:0016071,GO:0006417,GO:0006414,GO:0006413,GO:0000184,GO:0006415","RNA binding,structural constituent of ribosome,rRNA binding,translation regulator activity,cytosolic small ribosomal subunit,ribosome,ribonucleoprotein complex,small ribosomal subunit,translation,RNA metabolic process,mRNA metabolic process,regulation of translation,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003723,GO:0005515,GO:0003735,GO:0019843,GO:0045182,GO:0005737,GO:0005829,GO:0005622,GO:0005730,GO:0022627,GO:0005840,GO:0030529,GO:0015935,GO:0006412,GO:0008284,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006417,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083","RNA binding,protein binding,structural constituent of ribosome,rRNA binding,translation regulator activity,cytoplasm,cytosol,intracellular,nucleolus,cytosolic small ribosomal subunit,ribosome,ribonucleoprotein complex,small ribosomal subunit,translation,positive regulation of cell proliferation,viral process,gene expression,RNA metabolic process,mRNA metabolic process,regulation of translation,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription",.
RPSA,ribosomal protein SA [Source:HGNC Symbol;Acc:6502],ENSG00000168028,ENSP00000410848,1,Ribosomal_S2[1],family-773,"RPSA,RPSAP58",RPSA,"RPSAP58[99,99]",ribosome,ribosome,established RBP ,ribosomal,.,.,1,1,.,"GO:0003735,GO:0043022,GO:0022627,GO:0005840,GO:0015935,GO:0030686,GO:0000028,GO:0006412,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0000447,GO:0006415,GO:0000461,GO:0006407","structural constituent of ribosome,ribosome binding,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,90S preribosome,ribosomal small subunit assembly,translation,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),translational termination,endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA),rRNA export from nucleus","GO:0005515,GO:0003735,GO:0005055,GO:0043236,GO:0043022,GO:0005634,GO:0005886,GO:0005737,GO:0005829,GO:0005622,GO:0022627,GO:0005840,GO:0015935,GO:0030686,GO:0000028,GO:0006412,GO:0007155,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0000447,GO:0006415,GO:0019083,GO:0000461,GO:0006407","protein binding,structural constituent of ribosome,laminin receptor activity,laminin binding,ribosome binding,nucleus,plasma membrane,cytoplasm,cytosol,intracellular,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,90S preribosome,ribosomal small subunit assembly,translation,cell adhesion,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),translational termination,viral transcription,endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA),rRNA export from nucleus",.
RPUSD1,RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173],ENSG00000007376,ENSP00000456692,1,PseudoU_synth_2[1],family-308,RPUSD1,.,.,tRNA,putative tRNA/rRNA,PUS6 yeast homolog,.,.,.,.,.,.,"GO:0003723,GO:0009451","RNA binding,RNA modification","GO:0003723,GO:0009982,GO:0001522,GO:0009451","RNA binding,pseudouridine synthase activity,pseudouridine synthesis,RNA modification",.
RPUSD2,RNA pseudouridylate synthase domain containing 2 [Source:HGNC Symbol;Acc:24180],ENSG00000166133,ENSP00000453036,1,PseudoU_synth_2[1],family-861,RPUSD2,.,.,tRNA,putative tRNA/rRNA,"PUS9, RIB2 yeast homolog",.,RNAbinding,.,1,.,.,"GO:0003723,GO:0009451","RNA binding,RNA modification","GO:0003723,GO:0009982,GO:0001522,GO:0009451","RNA binding,pseudouridine synthase activity,pseudouridine synthesis,RNA modification",.
RPUSD3,RNA pseudouridylate synthase domain containing 3 [Source:HGNC Symbol;Acc:28437],ENSG00000156990,ENSP00000405054,1,PseudoU_synth_2[1],family-736,"RPUSD3,RPUSD4",RPUSD3,"RPUSD4[25,24]",mRNA,putative mRNA/tRNA/rRNA,"by domain, 22658674, 22681889",RNAmod,RNAbinding,1,1,.,.,"GO:0003723,GO:0009451","RNA binding,RNA modification","GO:0003723,GO:0009982,GO:0001522,GO:0009451","RNA binding,pseudouridine synthase activity,pseudouridine synthesis,RNA modification",.
RPUSD4,RNA pseudouridylate synthase domain containing 4 [Source:HGNC Symbol;Acc:25898],ENSG00000165526,ENSP00000298317,1,PseudoU_synth_2[1],family-736,"RPUSD3,RPUSD4",RPUSD3,"RPUSD4[25,24]",mRNA,putative mRNA/tRNA/rRNA,"by domain, 22658674, 22681889",RNAmod,RNAbinding,1,1,.,.,"GO:0003723,GO:0009451","RNA binding,RNA modification","GO:0003723,GO:0009982,GO:0001522,GO:0009451,GO:0005515,GO:0005739","RNA binding,pseudouridine synthase activity,pseudouridine synthesis,RNA modification,protein binding,mitochondrion",.
